onset	duration	trial_type	response_time
0.0	14.352	rest	n/a
14.352	19.386	AM	1.728
33.738	3.233	rest	n/a
36.972	19.399	MA	3.724
56.371	3.233	rest	n/a
59.603	19.393	AM	1.027
78.996	3.232	rest	n/a
82.228	19.394	MA	1.883
101.622	3.232	rest	n/a
104.854	19.394	AM	2.507
124.248	3.231	rest	n/a
127.479	19.394	MA	8.756
146.873	3.233	rest	n/a
150.106	19.401	AM	4.269
169.507	3.225	rest	n/a
172.732	19.401	MA	2.557
192.134	3.232	rest	n/a
195.366	19.393	AM	1.888
214.759	3.233	rest	n/a
217.992	19.393	MA	n/a
237.384	3.232	rest	n/a
240.617	19.393	AM	1.925
260.01	3.232	rest	n/a
263.242	19.394	MA	4.204
282.636	3.233	rest	n/a
285.869	19.393	AM	5.056
305.262	3.233	rest	n/a
308.495	19.402	MA	3.716
327.896	3.232	rest	n/a
331.128	19.393	AM	4.959
350.521	3.233	rest	n/a
353.754	19.393	MA	5.931
373.147	3.233	rest	n/a
376.38	19.394	AM	2.177
395.774	3.232	rest	n/a
399.006	19.393	MA	3.523
418.398	3.234	rest	n/a
421.632	19.393	AM	2.015
441.025	3.232	rest	n/a
444.257	19.394	MA	5.315
463.651	3.232	rest	n/a
466.883	19.401	AM	1.972
486.284	3.233	rest	n/a
489.517	19.393	MA	8.788
508.911	3.232	rest	n/a
512.143	19.393	AM	1.343
531.535	3.233	rest	n/a
534.768	19.394	MA	2.501
554.162	3.232	rest	n/a
557.394	19.392	AM	1.59
576.786	3.233	rest	n/a
580.02	19.394	MA	2.24
599.413	3.232	rest	n/a
602.646	19.393	AM	2.477
622.039	3.232	rest	n/a
625.271	19.4	MA	5.797
644.671	3.226	rest	n/a
647.898	19.401	AM	3.141
667.299	3.233	rest	n/a
670.531	19.391	MA	1.609
689.922	3.0	rest	n/a
